iter	Passed	Remaining
455	873	1041
456	874	1039
457	876	1037
458	878	1035
459	880	1033
460	881	1030
461	882	1027
462	884	1025
463	887	1025
464	888	1022
465	891	1021
466	892	1018
467	893	1016
468	895	1013
469	896	1010
470	898	1008
471	900	1007
472	901	1004
473	903	1002
474	904	999
475	905	997
476	908	996
477	910	993
478	913	993
479	915	991
480	917	989
481	923	992
482	927	992
483	928	990
484	930	988
485	932	986
486	935	985
487	936	983
488	939	981
489	941	980
490	943	977
491	944	975
492	946	973
493	949	972
494	954	973
495	958	973
496	962	973
497	965	973
498	966	970
499	968	968
500	969	965
501	970	963
502	972	960
503	973	958
504	975	955
505	976	953
506	977	950
507	979	948
508	982	947
509	983	944
510	984	942
511	985	939
512	987	937
513	989	935
514	990	932
515	991	930
516	993	928
517	995	926
518	996	923
519	998	921
520	999	918
521	1001	916
522	1002	914
523	1003	911
524	1005	909
525	1006	906
526	1007	904
527	1009	902
528	1013	902
529	1017	901
530	1018	899
531	1024	901
532	1026	899
533	1033	901
534	1039	903
535	1040	901
536	1045	901
537	1047	899
538	1048	896
539	1051	895
540	1052	893
541	1053	890
542	1055	887
543	1056	885
544	1058	883
545	1059	880
546	1060	878
547	1061	875
548	1064	874
549	1065	871
550	1066	869
551	1067	866
552	1069	864
553	1070	862
554	1072	859
555	1073	857
556	1074	854
557	1075	851
558	1076	849
559	1078	847
560	1079	844
561	1080	841
562	1081	839
563	1082	836
564	1083	834
565	1085	832
566	1086	829
567	1087	827
568	1089	824
569	1090	822
570	1091	819
571	1092	817
572	1094	815
573	1095	812
574	1096	810
575	1097	808
576	1098	805
577	1100	803
578	1101	801
579	1102	798
580	1104	796
581	1105	793
582	1106	791
583	1107	789
584	1109	786
585	1110	784
586	1111	781
587	1112	779
588	1113	777
589	1114	774
590	1116	772
591	1117	770
592	1118	767
593	1119	765
594	1121	763
595	1122	761
596	1124	758
597	1125	756
598	1126	753
599	1127	751
600	1128	749
601	1130	747
602	1131	744
603	1132	742
604	1133	740
605	1135	738
606	1137	736
607	1138	733
608	1139	731
609	1140	729
610	1141	726
611	1143	725
612	1144	722
613	1146	720
614	1147	718
615	1148	715
616	1149	713
617	1151	711
618	1152	709
619	1153	706
620	1154	704
621	1155	702
622	1157	700
623	1159	698
624	1160	696
625	1161	693
626	1162	691
627	1164	689
628	1165	687
629	1166	685
630	1168	683
631	1169	681
632	1172	679
633	1174	677
634	1175	675
635	1176	673
636	1177	671
637	1179	669
638	1180	666
639	1181	664
640	1182	662
641	1184	660
642	1185	658
643	1188	656
644	1190	655
645	1191	653
646	1195	652
647	1198	650
648	1200	649
649	1202	647
650	1203	645
651	1204	643
652	1206	640
653	1207	638
654	1208	636
655	1210	634
656	1211	632
657	1212	630
658	1222	632
659	1225	631
660	1227	629
661	1235	630
662	1237	628
663	1239	627
664	1240	625
665	1244	624
666	1246	622
667	1247	620
668	1249	618
669	1250	615
670	1252	614
671	1254	612
672	1255	610
673	1256	607
674	1257	605
675	1259	603
676	1263	602
677	1265	600
678	1268	599
679	1272	598
680	1274	597
681	1276	595
682	1278	593
683	1279	591
684	1281	589
685	1284	587
686	1285	585
687	1287	583
688	1291	582
689	1292	580
690	1295	579
691	1302	579
692	1309	579
693	1322	582
694	1324	581
695	1326	579
696	1329	578
697	1332	576
698	1337	576
699	1340	574
700	1342	572
701	1345	570
702	1347	569
703	1348	567
704	1383	579
705	1385	576
706	1387	575
707	1390	573
708	1391	571
709	1392	568
710	1394	566
711	1395	564
712	1396	562
713	1397	559
714	1399	557
715	1400	555
716	1401	553
717	1403	551
718	1405	549
719	1406	547
720	1408	544
721	1428	549
722	1429	547
723	1431	545
724	1432	543
725	1434	541
726	1436	539
727	1437	537
728	1438	534
729	1439	532
730	1441	530
731	1444	528
732	1451	528
733	1453	526
734	1457	525
735	1459	523
736	1463	522
737	1465	520
738	1466	518
739	1470	516
740	1474	515
741	1495	520
742	1497	517
743	1499	515
744	1502	514
745	1504	512
746	1505	509
747	1507	507
748	1511	506
749	1513	504
750	1514	502
751	1516	500
752	1519	498
753	1520	496
754	1522	493
755	1525	492
756	1527	490
757	1529	488
758	1530	486
759	1537	485
760	1538	483
761	1539	480
762	1541	478
763	1542	476
764	1543	474
765	1544	471
766	1545	469
767	1546	467
768	1548	465
769	1549	462
770	1558	462
771	1560	460
772	1566	460
773	1567	457
774	1569	455
775	1570	453
776	1571	451
777	1572	448
778	1574	446
779	1575	444
780	1576	442
781	1578	439
782	1579	437
783	1580	435
784	1581	433
785	1582	430
786	1584	428
787	1585	426
788	1586	424
789	1588	422
790	1589	419
791	1590	417
792	1591	415
793	1593	413
794	1594	411
795	1595	408
796	1596	406
797	1597	404
798	1599	402
799	1600	400
800	1601	397
801	1603	395
802	1604	393
803	1605	391
804	1606	389
805	1607	386
806	1608	384
807	1610	382
808	1611	380
809	1612	378
810	1613	376
811	1614	373
812	1616	371
813	1617	369
814	1618	367
815	1619	365
816	1620	363
817	1622	360
818	1623	358
819	1624	356
820	1625	354
821	1626	352
822	1627	350
823	1629	347
824	1630	345
825	1631	343
826	1632	341
827	1634	339
828	1635	337
829	1636	335
830	1637	333
831	1638	330
832	1639	328
833	1640	326
834	1642	324
835	1643	322
836	1644	320
837	1645	318
838	1646	316
839	1647	313
840	1649	311
841	1650	309
842	1651	307
843	1652	305
844	1653	303
845	1654	301
846	1656	299
847	1657	297
848	1658	295
849	1659	292
850	1660	290
851	1662	288
852	1663	286
853	1664	284
854	1666	282
855	1669	280
856	1670	278
857	1674	277
858	1675	275
859	1677	273
860	1680	271
861	1683	269
862	1684	267
863	1687	265
864	1688	263
865	1689	261
866	1690	259
867	1694	257
868	1697	255
869	1701	254
870	1707	252
871	1710	251
872	1711	248
873	1713	247
874	1715	245
875	1717	243
876	1719	241
877	1721	239
878	1724	237
879	1725	235
880	1727	233
881	1728	231
882	1730	229
883	1731	227
884	1733	225
885	1733	223
886	1735	221
887	1736	218
888	1737	216
889	1739	214
890	1740	212
891	1741	210
892	1742	208
893	1744	206
894	1745	204
895	1746	202
896	1748	200
897	1749	198
898	1750	196
899	1751	194
900	1752	192
901	1754	190
902	1755	188
903	1756	186
904	1757	184
905	1758	182
906	1760	180
907	1761	178
908	1762	176
909	1763	174
910	1764	172
911	1765	170
912	1767	168
913	1768	166
914	1769	164
915	1771	162
916	1772	160
917	1773	158
918	1774	156
919	1776	154
920	1777	152
921	1778	150
922	1779	148
923	1781	146
924	1783	144
925	1784	142
926	1785	140
927	1786	138
928	1787	136
929	1788	134
930	1790	132
931	1791	130
932	1792	128
933	1793	126
934	1795	124
935	1797	122
936	1798	120
937	1799	118
938	1800	116
939	1802	115
940	1803	113
941	1805	111
942	1806	109
943	1807	107
944	1808	105
945	1810	103
946	1811	101
947	1813	99
948	1815	97
949	1817	95
950	1819	93
951	1820	91
952	1822	89
953	1823	87
954	1825	86
955	1827	84
956	1828	82
957	1829	80
958	1830	78
959	1832	76
960	1834	74
961	1835	72
962	1836	70
963	1837	68
964	1840	66
965	1841	64
966	1843	62
967	1844	60
968	1845	59
969	1847	57
970	1849	55
971	1850	53
972	1851	51
973	1852	49
974	1854	47
975	1855	45
976	1856	43
977	1857	41
978	1858	39
979	1859	37
980	1861	36
981	1862	34
982	1864	32
983	1865	30
984	1866	28
985	1867	26
986	1868	24
987	1869	22
988	1871	20
989	1872	18
990	1873	17
991	1874	15
992	1875	13
993	1876	11
994	1878	9
995	1879	7
996	1880	5
997	1881	3
998	1883	1
999	1886	0
